Disease,Recommendations
Cancer de piele non-melanom,"Excizia chirurgicală simplă. Intervenția chirurgicală Mohs. Chiuretaj și electrodesicare. Ablația cu laser. Terapia fotodinamică (mai ales pentru keratoza actinică). Crioterapia (cu azot lichid). Radioterapia (în special cu fascicul de electroni). Chimioterapia sistemică (în cazuri avansate cu metastaze). Purtarea de îmbrăcăminte protectoare (inclusiv pălărie și ochelari de soare). Utilizarea cremelor de protecție solară cu spectru larg (UVA/UVB) și FPS minim 15. Reaplicarea frecventă a cremelor de protecție solară (la fiecare 2 ore). Utilizarea unui balsam de buze cu FPS minim 15. Alegerea cremelor de protecție solară cu ingrediente eficiente (benzofenone, cinnamates, solisobenzone, salicilați, avobenzone, oxid de zinc, dioxid de titaniu). Evitarea suprafețelor care reflectă radiațiile UV (apă, zăpadă, nisip) sau intensificarea protecției în aceste condiții. Evitarea bronzului artificial la solar. Prezentarea la medic pentru orice modificare suspectă a pielii."
Cancerul de prostata,"Supraveghere activa (""stai si asteapta"") pentru cancerele cu progresie lentă. Prostatectomie radicala (abord retropubian sau perineal). Limfadenectomie (laparoscopica sau clasica) cu examen histopatologic extemporaneu. Radioterapie externa. Radioterapie interstitiala (brahiterapie) cu implante radioactive (iod, aur, iridiu). Terapie hormonala (deprivare androgenica). Orhidectomie bilaterala (castrare chirurgicala). Blocada androgenica maxima/completa (asociere antiandrogen + orhidectomie/analog LHRH). Chimioterapie (pentru cancerul hormonorezistent). Rezectie endoscopica (pentru retentie de urina). Tratament paleativ (pentru ameliorarea simptomelor metastazelor). Iradierea metastazelor osoase. Administrarea izotopilor radioactivi (Strontiu, Samarium). Indepartarea neurochirurgicala a corpului vertebrei (pentru compresiune medulara). Terapie hormonala neoadjuvanta (înainte de chirurgie/radioterapie). Terapie hormonala adjuvanta (după chirurgie/radioterapie). Terapie hormonala intermitenta. Monitorizare periodică PSA. Examen digital rectal (EDR) periodic. Ultrasonografie transrectala. Imagistica prin rezonanta magnetica nucleara. Scintigrafie osoasa. Densitometrie osoasa (pentru monitorizarea osteoporozei). Reconstructie testiculara (optional post-orhidectomie)."
Cancerul de sân,"Intervenție chirurgicală: ablația tumorii (tumorectomie). Intervenție chirurgicală: cura ganglionilor axilari. Intervenție chirurgicală: ablația sânului (mastectomie) - dacă tumora este voluminoasă sau prost plasată. Chirurgie plastică reconstructivă a sânului (după mastectomie). Radioterapie (după intervenția chirurgicală sau asociată cu chimioterapia pentru tumori neoperabile). Terapie adjuvantă (după terapia primară pentru a crește șansa de supraviețuire). Terapie neoadjuvantă (înaintea terapiei principale pentru a micșora tumora). Ablație ovariană sau supresie (pentru reducerea producției de estrogen la femeile în premenopauză). Autopalpare lunară a sânilor. Examen medical (ginecologic) anual cu palparea sânilor. Mamografie (depistare precoce, recomandată regulat după 40-50 ani). Ecografie mamară. Citopuncție (prelevare celule). Biopsie mamară (prelevare țesut). Supraveghere post-tratament: consultații medicale frecvente. Supraveghere post-tratament: ecografie cardiacă. Supraveghere post-tratament: scintigrafie osoasă. Supraveghere post-tratament: radiografie toracică. Supraveghere post-tratament: ecografie hepatică. Supraveghere post-tratament: tomografie cerebrală. Supraveghere post-tratament: dozarea markerilor tumorali."
Cancerul de sân la bărbat,"Mastectomie radicală modificată. Biopsia nodulului santinelă. Radioterapie adjuvantă (mai ales după mastectomie). Orhiectomie (abord hormonal de linia a doua / istoric). Ablația androgenică (abord hormonal de linia a doua). Screening periodic pentru monitorizare pe termen lung. Adrenalectomie (istoric, terapie metastatică). Hipofizectomie (istoric, terapie metastatică). Biopsie cu ac fin (pentru diagnostic). Biopsie excizională (pentru diagnostic). Ecografie mamară (pentru diagnostic). Mamografie (pentru diagnostic)."
Cancerul esofagian,"Tratament curativ chirurgical: Esofagectomie extinsă cu limfadectomie și restabilirea continuității cu stomacul sau colonul (recomandat în stadii incipiente, fără metastaze, VEMS > 1,5l, vârstă sub 75 ani). Tratament endoscopic curativ: Mucosectomie endoscopică (pentru cancer „in situ” și mucosal). Radioterapie (curativă - mai puțin eficientă, sau paleativă). Radiochimioterapie (preoperator sau paleativ). Tratament paleativ (ameliorarea disfagiei, prelungirea supraviețuirii). Tratament paleativ chirurgical: Gastrostomie (pentru cancer esofag cervical). Tratament paleativ chirurgical: Rezecție paleativă cu anastomoză esogastrică. Tratament paleativ chirurgical: Esofagoplastie paleativă (cu perete gastric sau colic). Endoprotezare (proteze din material plastic sau metalice autoexpandabile) - în cancere avansate inoperabile. Dilatarea stenozei maligne (ameliorare temporară a disfagiei). Injectare intratumorală de alcool absolut (necroză tumorală, dezobstrucție). Tratament endoscopic cu laser (restaurarea lumenului, ameliorarea disfagiei). Tratament prin electrocoagulare cu sonda BICAP (ameliorarea disfagiei). Gastrectomie endoscopică percutană (pentru aport nutritiv). Terapie simptomatică."
Cancerul gastric,"Intervenție chirurgicală (tratament de elecție). Gastrectomie subtotală distală (tip de intervenție chirurgicală). Gastrectomie polară superioară (tip de intervenție chirurgicală). Gastrectomie totală (tip de intervenție chirurgicală). Chirurgie paliativă (rezecție limitată pentru hemoragie, infecție, obstrucție, metastaze, perforații). Radioterapie (limitată, adenocarcinomul fiind parțial radiorezistent). Chimioterapie (asocieri medicamentoase preoperator, intraoperator și/sau postoperator)."
Cancerul glandelor salivare,"Rezecția chirurgicală a tumorii în limite de siguranță oncologică. Parotidectomie superficială (pentru tumori incipiente, localizate superficial). Parotidectomie totală (pentru tumori profunde sau avansate). Excizia completă a glandelor submandibulare sau sublinguale afectate. Excizia tumorilor glandelor salivare minore. Excizia ganglionilor limfatici regionali (limfadenectomie), dacă sunt indicați. Radioterapie (post-operatorie adjuvantă, combinată cu chimioterapie sau paliativă). Chimioterapie (adjuvantă sau paliativă, adesea în combinație). Proceduri de reconstrucție/restabilire a motilității feței (după lezarea/excizia nervului facial). Tratament paliativ pentru ameliorarea simptomelor (durere, sângerare, disfagie)."
Cancerul glandelor suprarenale (carcinomul suprarenal),"Intervenția chirurgicală (suprarenalectomie) pentru rezecarea tumorii în limite de siguranță oncologică (stadiile I-III). Radioterapia (neo-adjuvantă - după chirurgie, sau paliativă - pentru ameliorarea simptomelor). Chimioterapie (indicată când cancerul este prea avansat pentru chirurgie sau post-operator)."
Cancerul hepatic - Hepatocarcinomul,"Rezecția chirurgicală a tumorii. Transplant hepatic ortotopic. Chemoembolizarea arterială transcateter (TACE). TheraSphere (brahiterapie cu microsfere radioactive). Injectarea percutană de etanol (P.E.I.). Ablația prin radiofrecvență (RFA). Crioterapia. Controlul durerii (cu management adecvat al efectelor secundare). Managementul retenției lichidiene (cu diuretice). Monitorizare post-tratament (CT, AFP, imagistică). Evitarea Aspirinei și AINS la pacienții cu retenție lichidiană."
Cancerul labial (buze),Excizia chirurgicală a tumorii în limite oncologice. Radioterapie externă. Brahiterapie (radioterapie internă). Crioterapie (înghețarea cu nitrogen lichid). Chirurgie micrografică Mohs. Reconstrucția chirurgicală a buzei (cu grefe locale sau regionale). Disecția ganglionară cervicală (supra-omohioidiană) electivă sau terapeutică. Logoterapie (pentru reeducarea vorbirii post-chirurgical). Chirurgie plastică și reparatorie (pentru corectarea defectelor și cicatricilor). Utilizarea regulată a produselor de fotoprotecție pentru buze (rujuri cu SPF înalt). Evitarea expunerii prelungite la soare. Monitorizarea atentă a oricăror modificări la nivelul buzelor. Consult medical rapid pentru orice leziune suspectă a buzelor. Renunțarea la fumat. Limitarea consumului de alcool. Asigurarea unui aport adecvat de vitamine A și C (rol preventiv posibil).
Cancer ovarian,"Interventie chirurgicala (exereza completa, citoreductie, second look, paleativa). Chimioterapie (monoterapie sau polichimioterapie, adjuvanta sau primara). Radioterapie (adjuvanta, de salvare, paleativa, folosind Au 196, P 32). Hormonoterapie (la femei tinere cu stadiul IA si tumori border-line). Imunoterapie (nespecifica, asociata chimioterapiei). Screening si detectare precoce (examen pelvin, CA 125, ultrasonografie transvaginala) - în special pentru grupurile la risc. Monitorizarea markerilor tumorali (CA 125, CA 15-3, CA 19-9, CEA, AFP, TPA, Fosfataza alcalina, LDH, HCG, beta-HCG). Diagnostic imagistic (Ecografie transabdominala, endovaginala, 3D, Doppler, Scanner, RMN). Proceduri diagnostice invazive (Punctie eco-ghidata, Punctia Douglasului, Limfangiografie, Pelviscopie, Histeroscopie, Chiuretaj uterin, Laparoscopie - limitat, Examen histopatologic)."
Cancerul limbii,"Renunțarea la fumat. Evitarea consumului de alcool. Administrarea vitaminelor A și C și carotenoizi (posibil rol protector). Radioterapie externă. Brahiterapie (radioterapie interstițială). Chirurgie: excizie tumorală. Chirurgie: glosectomie (parțială sau totală). Chirurgie: faringotomie laterală (abord). Chirurgie: mandibulotomie (abord). Chirurgie: rezecție mandibulară (mandibulectomie marginală sau segmentară). Chirurgie: disecție ganglionară cervicală. Chirurgie: traheotomie (în intervenții extensive). Chirurgie reconstructivă (grefe de piele, grefe osoase). Terapie combinată (chirurgie și radioterapie). Tratament paliativ (pentru cazuri inoperabile). Panendoscopie (bronhoscopie, esofagoscopie, laringoscopie) pentru stadializare. Biopsie tumorală pentru diagnostic histopatologic. Evaluarea și managementul statusului nutrițional. Monitorizare post-tratament (PET-scan, RMN)."
Cancerul mamar,"Chimioterapie preoperatorie (neoadjuvantă). Chimioterapie adjuvantă. Excizia chirurgicală a tumorii mamare. Radioterapie (poate crește riscul de cancere secundare). Sectorectomie (tratament conservator). Hormonoterapie (ex: Tamoxifen, inhibitori de aromatază). Screening precoce pentru cancer colorectal la pacientele diagnosticate cu cancer de sân înainte de vârsta de 45-50 ani (mai ales cu mutație BRCA1). Supraveghere medicală intensă post-tratament pentru detectarea precoce a neoplaziilor secundare."
Cancerul mamar în sarcină,"Tratament chirurgical (mastectomie, chirurgie conservativă, chirurgie axilară). Biopsia ganglionului santinelă (siguranță necunoscută). Radioterapie adjuvantă (de obicei amânată după naștere). Chimioterapie (administrare după primul trimestru, cu precauții). Terapie țintită (pentru paciente HER2 pozitive, cu precauții). Terapie endocrină (amânată până după naștere). Consiliere genetică (pentru mutații BRCA). Ecografie mamară (diagnostic). Mamografie bilaterală (diagnostic, risc neglijabil pentru făt). RMN mamar (diagnostic/stadializare, fără contrast preferabil, nu de rutină). Puncție-biopsie eco-ghidată (needle core biopsy) (diagnostic). Radiografie toracică (stadializare, sigură). Ecografie hepatică/pelvină (stadializare, alternativă la CT). RMN/CT osos (stadializare metastaze osoase). Oprirea alăptării înainte de biopsie. Hemostază corespunzătoare post-biopsie. Asepsie în timpul biopsiei. Anestezie locală sau generală (pentru chirurgie, cu precauții). Abordare multidisciplinară. Întreruperea sarcinii (menționată ca variantă istorică, nu recomandare actuală standard)."
Cancerul nazal,"Tratament chirurgical (extirparea formațiunii tumorale). Rezecție minimă sau extinsă în țesut sănătos. Limfadenectomie (în cazul invadării ganglionare). Reconstrucție cu proteză (după rezecții extinse). Radioterapie (preoperator, postoperator, paleativ). Chimioterapie (preoperator, postoperator, paleativ, în asociere cu radioterapia). Abordare multidisciplinară."
Cancerul osos,"Rezecția în totalitate a tumorii, inclusiv a zonei reactive (pentru tumorile maligne cu ritm lent de dezvoltare / grad scăzut de malignitate). Excizia în totalitate a compartimentului anatomic invadat de tumoră (pentru tumorile maligne cu grad crescut de malignitate). Tratament paliativ pentru evitarea apariției metastazelor (poate include chimioterapie, radioterapie - nespecificat). Radiografie standard (pentru diagnostic). Scintigrafie osoasă (pentru depistarea extensiei tumorii și a metastazelor). Biopsie osoasă (pentru diagnostic histopatologic și stadializare)."
Cancerul ovarian cu mutație BRCA,Tratament chirurgical (de primă intenție). Chimioterapie (de primă intenție). Chimioterapie intraperitoneală. Chirurgie profilactică (pentru reducerea riscului la purtătorii de mutații BRCA). Salpingectomie profilactică. Ooforectomie profilactică (implicată). Consiliere genetică. Testare genetică pentru mutațiile genei BRCA1/BRCA2. Utilizarea anticontraceptivelor orale (pentru reducerea riscului). Tratament de menținere cu inhibitori PARP (Niraparib). Suport psihologic.
